name,film,dob,d_award,age_award_wiki,award_d,age_award,type_award
Emil Jannings,2 roles; see note[1],23-Jul-1884,16-May-29,"44 years, 297 days",1928,44.81,best_actor
Warner Baxter,In Old Arizona,29-Mar-1889,3-Apr-30,"41 years, 5 days",1929,41.01,best_actor
George Arliss,Disraeli,10-4-1868,5-Nov-30,"62 years, 209 days",1930,62.57,best_actor
Lionel Barrymore,A Free Soul,28-Apr-1878,10-Nov-31,"53 years, 196 days",1931,53.53,best_actor
Wallace Beery,The Champ,1-Apr-1885,18-Nov-32,"47 years, 231 days",1932,47.63,best_actor
Fredric March,Dr. Jekyll and Mr. Hyde,31-Aug-1897,18-Nov-32,"35 years, 79 days",1933,35.21,best_actor
Charles Laughton,The Private Life of Henry VIII,1-Jul-1899,16-Mar-34,"34 years, 258 days",1934,34.7,best_actor
Clark Gable,It Happened One Night,1-Feb-1901,27-Feb-35,"34 years, 26 days",1935,34.07,best_actor
Victor McLaglen,The Informer,10-Dec-1886,5-Mar-36,"49 years, 86 days",1936,49.23,best_actor
Paul Muni,The Story of Louis Pasteur,22-Sep-1895,4-Mar-37,"41 years, 163 days",1937,41.45,best_actor
Spencer Tracy,Captains Courageous,5-Apr-1900,10-Mar-38,"37 years, 339 days",1938,37.93,best_actor
Spencer Tracy,Boys Town,5-Apr-1900,23-Feb-39,"38 years, 324 days",1939,38.89,best_actor
Robert Donat,"Goodbye, Mr. Chips",18-Mar-05,29-Feb-40,"34 years, 348 days",1940,34.95,best_actor
James Stewart,The Philadelphia Story,20-May-08,27-Feb-41,"32 years, 283 days",1941,32.77,best_actor
Gary Cooper,Sergeant York,7-May-1901,26-Feb-42,"40 years, 295 days",1942,40.81,best_actor
James Cagney,Yankee Doodle Dandy,17-Jul-1899,4-Mar-43,"43 years, 230 days",1943,43.63,best_actor
Paul Lukas,Watch on the Rhine,26-May-1895,2-Mar-44,"48 years, 281 days",1944,48.77,best_actor
Bing Crosby,Going My Way,3-May-1903,15-Mar-45,"41 years, 316 days",1945,41.87,best_actor
Ray Milland,The Lost Weekend,3-Jan-07,7-Mar-46,"39 years, 63 days",1946,39.17,best_actor
Fredric March,The Best Years of Our Lives,31-Aug-1897,13-Mar-47,"49 years, 194 days",1947,49.53,best_actor
Ronald Colman,A Double Life,9-Feb-1891,20-Mar-48,"57 years, 40 days",1948,57.11,best_actor
Laurence Olivier,Hamlet,22-May-07,24-Mar-49,"41 years, 306 days",1949,41.84,best_actor
Broderick Crawford,All the King's Men,9-Dec-11,23-Mar-50,"38 years, 104 days",1950,38.29,best_actor
José Ferrer,Cyrano de Bergerac,8-Jan-12,29-Mar-51,"39 years, 80 days",1951,39.22,best_actor
Humphrey Bogart,The African Queen,25-Dec-1899,30-Mar-52,"52 years, 96 days",1952,52.26,best_actor
Gary Cooper,High Noon,7-May-1901,19-Mar-53,"51 years, 316 days",1953,51.87,best_actor
William Holden,Stalag 17,17-Apr-18,25-Mar-54,"35 years, 342 days",1954,35.94,best_actor
Marlon Brando,On the Waterfront,3-Apr-24,30-Mar-55,"30 years, 361 days",1955,30.99,best_actor
Ernest Borgnine,Marty,24-Jan-17,21-Mar-56,"39 years, 57 days",1956,39.15,best_actor
Yul Brynner,The King and I,11-Jul-20,27-Mar-57,"36 years, 259 days",1957,36.71,best_actor
Alec Guinness,The Bridge on the River Kwai,2-Apr-14,26-Mar-58,"43 years, 358 days",1958,43.98,best_actor
David Niven,Separate Tables,1-Mar-10,6-Apr-59,"49 years, 36 days",1959,49.1,best_actor
Charlton Heston,Ben-Hur,4-Oct-23,4-Apr-60,"36 years, 183 days",1960,36.5,best_actor
Burt Lancaster,Elmer Gantry,2-Nov-13,17-Apr-61,"47 years, 166 days",1961,47.46,best_actor
Maximilian Schell,Judgment at Nuremberg,8-Dec-30,9-Apr-62,"31 years, 122 days",1962,31.33,best_actor
